Date,Open,High,Low,Close,Adj Close,Volume,OpenPower3,ClosePower3,OpenPower2,ClosePower2,OpenDetr,CloseDetr
2014-09-17,465.864013671875,468.1740112304688,452.4219970703125,457.3340148925781,457.3340148925781,21056800,101106131.10848382,95653422.0230802,217029.27923446894,209154.40117776487,8483.000527978626,8484.51647455491
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.4400024414063,424.4400024414063,34483200,95356294.1165441,76462575.98383702,208721.0462154299,180149.315672461,8460.350674630125,8437.961121284341
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,394.7959899902344,37919700,76280586.56717461,61534432.32598768,179863.35191693995,155863.87371236924,8413.947861076544,8394.655768013772
2014-09-20,394.6730041503906,423.2959899902344,389.8829956054688,408.9039916992188,408.9039916992188,36863600,61476943.09037815,68369759.21541372,155766.78020509426,167202.47442755481,8370.872043372574,8395.10242890336
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,398.8210144042969,26580100,67959764.89497037,63435753.28370608,166533.3602508912,159058.20153047238,8370.638205649073,8371.35811078904
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,24127600,63568974.18751878,65038531.19984626,159280.8148718262,161726.23758398835,8348.00739526932,8361.027763621987
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,45099500,65009426.00427175,82762714.44870085,161677.98490636144,189913.7827008972,8337.353574635665,8381.005399853373
2014-09-24,435.7510070800781,436.1119995117188,421.1319885253906,423.2049865722656,423.2049865722656,30627700,82739939.40294288,75797054.45851909,189878.9401713023,179102.46065963153,8357.366746189506,8354.758060498818
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,26814400,75770739.80573711,69717822.00043958,179061.0052948594,169393.16169624124,8331.125919940614,8329.46573823411
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.4249877929688,404.4249877929688,21460800,69644152.01369569,66147577.4045351,169273.8101883093,163559.57075134298,8305.753074648754,8308.655380080729
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,399.5199890136719,15029300,65722099.01002326,63769871.1086193,162857.44493895117,159616.2216214845,8284.23426378072,8290.089040482035
2014-09-28,399.4710083007813,401.0169982910156,374.3320007324219,377.1809997558594,377.1809997558594,23613300,63746419.63500752,53659846.001422375,159577.0864728429,142265.5065768296,8266.503447297455,8254.088710404823
2014-09-29,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,375.4670104980469,32497700,53551942.84890018,52931640.5168739,142074.72399373446,140975.47597234044,8230.314623001686,8238.713380327616
2014-09-30,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,386.9440002441406,34707300,53194713.38687182,57935445.558382735,141442.19329310954,149725.6593249375,8215.828801635607,8236.52902925431
2014-10-01,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,383.614990234375,26229400,58152669.7303138,56452958.70679164,150099.68184238672,147160.46073251963,8213.521965865231,8219.53867842515
2014-10-02,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,375.0719909667969,21777700,56617798.66570407,52764752.02002725,147446.78920634184,140678.99840779696,8196.437145475713,8197.334338338173
2014-10-03,375.1809997558594,377.6950073242188,357.8590087890625,359.5119934082031,359.5119934082031,30901200,52810771.13395847,46466520.12335872,140760.78257780615,129248.87340433989,8173.984313611587,8168.112999960183
